Statement,Label,Subject,Speaker
"An April study found that about 70 percent of ads in this election cycle have been negative [due to SuperPACs], up from only 9 percent through the same period in 2008.",TRUE,"campaign-finance,corporations,elections,campaign-advertising,transparency,unions",sheldon-whitehouse
Justice John Roberts Signed Off On Obamas Arrest For Treason.,FALSE,"criminal-justice,legal-issues",blog-posting
All Aboard Florida is receiving millions in Florida taxpayer dollars.,TRUE,"state-budget,transportation",charlie-crist
Ninety million Americans either arent working or arent looking for work.,FALSE,economy,blog-posting
The Iranians are now saying that what were saying the deal is and what they understand it to be are two different things.,TRUE,"foreign-policy,nuclear",marco-rubio
The federal government has 77 different means-tested social welfare programs.,TRUE,"federal-budget,government-efficiency",jim-jordan
To use money from the TARP fund in the manner that is being discussed by the White House and congressional Democrats would be a violation of the law.,TRUE,"economy,federal-budget,stimulus",mike-pence
"Because George Holding doesnt live in the congressional district hes running for, he doesnt experience the same things that we are all experiencing.",FALSE,"congress,debates,redistricting",renee-ellmers
Weve cut the deficit by two-thirds.,TRUE,"debt,deficit,economy,stimulus",barack-obama
Says President Obama has never made a statement ... that he wanted a residual force left (in Iraq).,TRUE,"foreign-policy,iraq,islam,terrorism",john-mccain
I have returned money every year since taking office.,TRUE,congressional-rules,lynn-westmoreland
"In the last 15 years, weve witnessed a dramatic expansion in the jailing of immigrants, from about 70,000 people detained annually to about 400,000.",TRUE,immigration,aclu-georgia-foundation
Says Maryellen OShaughnessy accepted campaign cash from indicted politician Jimmy Dimora.,FALSE,campaign-advertising,ohio-republican-party
"Palin ""fired Wasilla's Police Chief because he 'intimidated' her.""",TRUE,crime,chain-email
The CEO of Goldman Sachs let his employees know that hed be just fine with either Bush or Clinton.,FALSE,financial-regulation,martin-omalley
Republican leadership took the lead confirming Loretta Lynch as attorney general.,FALSE,"congressional-rules,legal-issues",ted-cruz
"Its bad enough that (Stephen) Silberkraus appeared in a sexual fetish film where women were kidnapped from their homes and forced to live naked in kennels and trained to be pets. But when Silberkraus isnt acting in films that degrade women, hes stalking them in his personal time.",FALSE,candidates-biography,lesley-cohen
"Says Hillary Clinton voted to raise taxes on workers earning as little as $41,500.",FALSE,taxes,republican-party-florida
"You know, the approval rating of Congress is down to 13 percent.",TRUE,ethics,john-mccain
Says Rick Santorum funded Planned Parenthood.,TRUE,"abortion,message-machine-2012",ron-paul
Schools in some states are spending up to 100 days a year doing test-prep or actual testing.,FALSE,education,randi-weingarten
"In Oregon, students are skipping math class to learn about the Bible.",TRUE,"education,religion",hemant-mehta
The United States right now incarcerates more African-Americans as a percentage than apartheid South Africa did.,TRUE,criminal-justice,nicholas-kristof
"Before 2005, the percentage of Texas high school students meeting the college readiness standards of the Texas Higher Education Coordinating Board stood at 28% in English and 42% in math. Those figures stood at 65% and 66% in 2013.",TRUE,"children,education",don-willett
Obama's liberal fiscal agenda: Over $874-billion in new spending.,TRUE,federal-budget,republican-national-committee-republican
Tommy Thompson made millions from corporations who outsource American jobs and now hes trying to lavish huge tax breaks on them.,TRUE,"corporations,jobs,message-machine-2012,workers",majority-pac
Georgia has a well-deserved reputation for setting the gold standard for food safety.,FALSE,food-safety,kevin-levitas
I asked the unions to pay into their own health care insurance ... and they said I was being unreasonable. I requested that they contribute toward their own pensions ... and they screamed it was unfair.,FALSE,"health-care,labor,state-budget,state-finances",scott-walker
We have created more jobs in this last year than the Bush administration (did) in eight years.,TRUE,"economy,jobs",joe-biden
"After I had resigned or announced my resignation, I abolished -- I prohibited pay-to-play for people that had county or state contracts.",TRUE,"candidates-biography,ethics",jim-mcgreevey
"If lawmakers fail to avert the fiscal cliff, 18 percent of the federal money that is sent to the states will be eliminated.",FALSE,"debt,deficit,federal-budget,state-budget,state-finances,states",campaign-fix-debt
"In 2011, the average annual compensation for a teacher in the Milwaukee Public Schools system will exceed $100,000.",TRUE,"education,labor,state-budget",maciver-institute
Says U.S. Rep. Paul Ryans budget proposal eliminates Medicare in 10 years.,FALSE,"federal-budget,medicare",joe-biden
Says there are fewer jobs in America today than when Barack Obama became president.,FALSE,jobs,chris-christie
Says U.S. Senate candidate Cory Gardner blocked immigration reform and voted to deport our DREAMers.,FALSE,immigration,service-employees-international-union-committee-po
Says PolitiFact validated and independently documented its criminal history claims about Adan Ballesteros.,FALSE,"candidates-biography,crime,criminal-justice",texans-accountable-government
Women make 77 cents for every dollar a man earns.,TRUE,"jobs,women",barack-obama
About 800 people refused to get a drug screening because they are out there on drugs.,FALSE,"drugs,welfare",paige-kreegel
Says Mitt Romney asked for a waiver from federal welfare rules.,FALSE,welfare,rahm-emanuel
Says Tom Hughes supports paving over thousands of acres with over-development and sprawl.,FALSE,"environment,housing",bob-stacey
Sen. Jack Reed cast the deciding vote in the Senate for the Affordable Care Act.,FALSE,"congress,health-care,history,job-accomplishments,public-health,voting-record",mark-zaccaria
David Cicilline was the state representative who opposed tough mandatory sentences for those convicted of domestic violence and child abuse.,TRUE,"candidates-biography,children,crime,criminal-justice,families,public-safety,women",brendan-doherty
Bill White ...offered sanctuary to illegal immigrants.,FALSE,immigration,cathie-adams
Says the Clintons burst through their own self-pronounced guidelines by acceptingforeign donations.There is a clip of Bill Clinton saying were not going to take foreign donations.,FALSE,ethics,joe-scarborough
"Overall we currently have $981 million, almost a billion dollars in active development projects right here in the City of Richmond.",FALSE,economy,dwight-jones
"Sixty-two percent of all personal bankruptcies are ""caused by medical problems.""",TRUE,"bankruptcy,health-care",chris-dodd
China has made enormous progress in its human rights. That is a fact recognized by all the people in the world.,FALSE,"china,foreign-policy,human-rights",xi-jinping
Says the states Medicaid waiver proposal has languished in a file cabinet at the Centers for Medicare and Medicaid Services for more than two years.,FALSE,"health-care,state-budget,states",rick-perry
"U.S. teenagers have now fallen behind their counterparts in Ireland, Poland and even Vietnam in math and science.",TRUE,education,jeb-bush
Not one illness has been reported from raw milk in Texas in more than four years. A total of six illnesses have occurred in the last 20 years.,FALSE,"corrections-and-updates,food-safety,public-health",dan-flynn
We have one of the highest percentages per capita of nonprofits in this state of any state in the union.,TRUE,"economy,poverty",anne-nolan
The GOP platform that seeks further limits on abortion and is silent on an exception for rape has been there for more than 30 years.,TRUE,abortion,bob-mcdonnell
Says Supreme Court Justice Sonia Sotomayor has animmigrant family background.,FALSE,"corrections-and-updates,immigration",laura-ingraham
"Under the new Arizona immigration law, police can't stop someone to check their immigration status unless they think they see something illegal.",FALSE,"immigration,legal-issues",john-huppenthal
Mitt Romney supervised a company guilty of massive Medicare fraud.,TRUE,message-machine-2012,winning-our-future
"California gubernatorial candidate Steve Poizner, a Republican, ""gave $10,000 to Al Gore's recount"" effort in 2000.",TRUE,"campaign-finance,candidates-biography,elections,message-machine",meg-whitman
Just remember this: the presidents health care bill put 30 million people on health care rolls that werent there before.,TRUE,health-care,frank-lautenberg
Fox News uses photo of a married couple promoting traditional marriage and the photo is actually of a same-sex couple.,TRUE,gays-and-lesbians,facebook-posts
"Every time we raise the minimum wage, the number of jobless people increases.",FALSE,"economy,jobs,workers",ben-carson
Trump Management was charged with discriminating against African-Americans and breaking federal law.,TRUE,"candidates-biography,civil-rights,housing,legal-issues",hillary-clinton
China is or soon will be the largest English-speaking nation in the world.,TRUE,"china,foreign-policy,new-hampshire-2012",jon-huntsman
The National Park Service has an annual budget that is less than the city of Austin.,TRUE,"city-budget,city-government,federal-budget,recreation",jonathan-jarvis
It is ironic that (First Energy Corp. is) going to have a name on our (football stadium) where we (Cleveland Public Power) supply the electricity.,TRUE,"city-budget,energy,infrastructure",mike-polensek
"Congressman Jeff Denhamhas agreed all illegal immigrants should be detained, arrested and deported.",FALSE,immigration,democratic-congressional-campaign-committee
"In 2011, more people were murdered with knives, hands or feet or clubs and hammers than with any type of rifle.",TRUE,guns,facebook-posts
"As governor, Tim Kaine oversaw a huge increase in illegal immigration, a tremendous increase.",FALSE,immigration,donald-trump
Says Indiana Gov. Mike Pence provides zero state funding for homeless shelters.,TRUE,"housing,state-budget",us-uncut
Virginias banning of felons from voting is a Jim Crow-era law.,FALSE,"civil-rights,history",levar-stoney
Weve broken by millions the all-time record for votes in a GOP presidential primary election.,FALSE,elections,donald-trump
Only one out of 10 minimum wage workers today are teen age or a young person.,FALSE,economy,katrina-vanden-heuvel
"Says Hillary Clintoninsists that when the progressive agenda encounters religious beliefs to the contrary, those beliefs have to be changed.",TRUE,"religion,women",jeb-bush
SaysBernie Sanders has reversed his position on immunity for gun manufacturers and sellers.,TRUE,"guns,legal-issues",hillary-clinton
There's not a major bill I know with Hillary's name on it.,TRUE,job-accomplishments,joe-biden
"The national economic recovery has led to higher than expected tax revenues and projected budget surpluses in nearly every state in the nation, including Wisconsin.",TRUE,"state-budget,state-finances,states",state-democratic-party-wisconsin
Says we are going to sell this house and use the proceeds to stabilize rates.,FALSE,water,nick-fish
"Says 15,000 IRS employees have to be added to administer ObamaCare and look at the tax implications.",FALSE,health-care,jeff-fitzgerald
"As a senator, Hillary Clinton actually paid female staffers a lot less than men.",FALSE,"candidates-biography,women",sean-hannity
"According to recent reports, a group of death panels organized under Obamacare ordered their first execution.",FALSE,health-care,americannewscom
"Weve just now given over $100 billion to Iran, the equivalent in U.S. terms is $5 trillion.",TRUE,foreign-policy,mike-huckabee
"My campaign finished the last quarter reporting the most cash on hand of any Republican in the field $13.8 million in the bank, $3.5 million more than the Jeb Bush campaign.",TRUE,campaign-finance,ted-cruz
I have a D-minus voting record from the NRA.,TRUE,guns,bernie-s
"Says he ""fought against $3 billion in cuts to public education since 2003.""",TRUE,education,dubose-porter
"When we moved into the White House, we had the lowest net worth of any family since Harry Truman.",TRUE,wealth,bill-clinton
Say easing restrictions on selling alcohol on Sundays will result in more traffic crashes and fatalities.,FALSE,Alcohol,georgia-state-senators
Says Chris Christie inherited the highest taxes in America and the worst unemployment in the region.,TRUE,"jobs,taxes",committee-our-childrens-future
Right now the Tea Party polls higher than the Republicans and the Democrats.,FALSE,"elections,pundits",dick-armey
Every year the First Coast Guard District saves 350 lives in the Northeast.,TRUE,public-safety,Coast-Guard
"Says that even if his budget is adopted, private schools in the choice program would be getting about half the per-pupil funds that public schools receive",TRUE,"education,state-budget,taxes",scott-walker
Figures for September 2014s job growth in Wisconsin mark the largest private-sector job creation weve had in the month of September in more than a decade,TRUE,jobs,scott-walker
"According to the CDC, 110 million Americans now have a sexually transmitted illness.",FALSE,"health-care,public-health",phil-robertson
Says the former president of the Czech Republic said the American people were a confederacy of fools for electing Barack Obama.,FALSE,foreign-policy,chain-email
We were able to provide $428 million worth of property tax relief.,TRUE,"state-budget,taxes",don-gaetz
Says President Obama is reducing our naval fleet to 1917 levels...,FALSE,"federal-budget,military",ew-jackson
"Medicare does just as good, if not better, at keeping people healthy as Medicare Advantage.",TRUE,"health-care,medicare",barack-obama
Our median household income in 2013 was the highest in the nation.,TRUE,"census,economy,families",maggie-hassan
Its possible that non-citizen voters were responsible for Obamas 2008 victory in North Carolina.,FALSE,"crime,elections,immigration,states",donald-trump
The facts show that approximately 40 persons on death row have had all of their appellate review completed and await only the governors signature on a death warrant to end the case.,TRUE,criminal-justice,geraldine-thompson
"For the first time in 13 years, our dependence on foreign oil is below 50 percent.",TRUE,"energy,ethics,job-accomplishments,message-machine-2012",barack-obama
"If you give guns to gangs, you can get out of jail free, if (Californias Proposition 57) passes. If you do a drive-by shooting, you can get out of jail free, if Proposition 57 passes. If you discharge guns on a school yard, you can get out of jail free.",FALSE,"crime,criminal-justice",loretta-sanchez
Amanda Murphy has two vacation homes around the world.,FALSE,candidates-biography,citizens-fairness
"I joined the Gang of 14, seven Republicans, seven Democrats, so that we wouldn't blow up the United States Senate. Sen. Obama had the opportunity to join that group. He chose not to.",TRUE,candidates-biography,john-mccain
"Gov. Nathan Deal has taken at least $15,600 from the (Koch brothers), their businesses, and their employees.",FALSE,campaign-finance,patriot-majority-usa
A man using bath salts reported that raccoons had set fire inside his home and stolen his cell phone.,TRUE,"crime,criminal-justice,drugs",mike-dewine
"A couple retiring today will pay about $119,000 in lifetime Medicare taxes and receive about $357,000 in lifetime Medicare benefits. ... about 3 bucks in benefits for every dollar in taxes.",TRUE,"deficit,federal-budget,medicare",rob-portman
Rick Perry advocated to liquidate the states rainy day fund in 2007.,TRUE,"state-budget,state-finances",steve-ogden
"The Democratic health care plan is a ""government takeover of our health programs.""",FALSE,health-care,cw-bill-young
Says Scott Walker says he would ban stem cell research,FALSE,message-machine,tom-barrett
"For the first time in history, Wisconsin has more government jobs than manufacturing jobs.",TRUE,"jobs,message-machine",leah-vukmir
"The top 10 most well-paid CEOs in America received a combined $770 million in 2010, while the average American workers wage rose just 2 percent.",TRUE,"corporations,economy,families,income",dennis-kucinich
A bill from U.S. Rep. Ted Yohoattempts to restrict the administrations ability to conduct national security and criminal background checks on undocumented immigrants.,TRUE,"immigration,terrorism",barack-obama
"Statistically, law-enforcement officers die 10 years earlier than the general population.",FALSE,"labor,public-service,retirement,state-finances",robert-barber
America owns 3 percent of the worlds oil but consumes 25 percent of its global reserves.,TRUE,energy,gerry-connolly
Air travelers cant get on a plane in the United States without someone doing a background check on them.,TRUE,guns,dannel-malloy
"Four percent of American citizens are black males, but they are 35 percent of murder victims.",TRUE,"census,crime,legal-issues,pundits",bill-bennett
"The federal government may put 16,500 IRS agents in charge of policing President Obamas health care bill.",TRUE,"federal-budget,government-efficiency,health-care,taxes",michele-bachmann
Suicide comes from federal government largesse saying you are not worth anything but you are going to get something for nothing.,FALSE,"diversity,public-health",don-young
We havent had control of the House for the last two years and its been malfunctioning. We had 109 sessions scheduled and held 49.,TRUE,government-efficiency,bill-batchelder
"This Congress made history as the least productive, most unpopular Congress in the history of this proud nation.",TRUE,"congress,polls",pete-gallego
"According to 2009 estimates, an agreement with Panama could result in almost 1,900 Florida jobs in thefirst year and about 15,000 jobs afterfive years.",TRUE,"jobs,trade",rick-scott
We just cant afford to pay 100 percent of government employee benefits.,TRUE,"labor,state-finances,unions",alliance-americas-future
University of Texas students signed a petition seeking the legal right to abort newborn babies up to five-years-old.,TRUE,"abortion,crime,criminal-justice,education",texas-right-life
I have askedtheDivision of Emergency Management toreport directly to me.,FALSE,"government-efficiency,state-budget",rick-scott
"Weve added, in the last eight years, $4 trillion of debt to the nations obligations.",TRUE,federal-budget,rahm-emanuel
The U.N. Arms Treatyinfringes upon our right to keep and bear arms.,FALSE,guns,monica-wehby
Teachers will not be able to return to work after raising their children.,FALSE,"education,families",paula-dockery
Says Newt Gingrich aligned with Nancy Pelosi on global warming.,TRUE,"climate-change,environment,message-machine-2012",make-us-great-again
"The Jewish holiday Purim is ""their version of Halloween here.""",FALSE,religion,john-mccain
The fact that Rick Scott is running for governor as a 'reformer' would be funny if it wasn't so outrageous. This is a man who barely escaped imprisonment.,FALSE,"candidates-biography,health-care",bill-mccollum
"Under Scott Walker, Wisconsin unemployments up from 4.8% to 6.2%",FALSE,"corporations,economy,job-accomplishments,jobs",mary-burke
"If you have a job in this country, (theres a) 97 percent chance that youre not going to be in poverty.",TRUE,"economy,poverty,workers",steve-southerland
"According to the U.S. Census Bureau, 71.2 percent of Hispanic registered voters in Texas and over 86 percent of African American registered voters participated in the 2012 elections.",TRUE,"civil-rights,elections,legal-issues",john-cornyn
"Wisconsins state budget is almost twice as large per person as the state budget of Texas, and even after billions in tax cuts, Wisconsins working families and businesses remain subject to a heavy tax burden.",TRUE,"state-budget,taxes",mario-loyola
Says Target installed urinals in a womens bathroom to accommodate the ones who have giblets.,FALSE,civil-rights,facebook-posts
An anonymous e-mail says that Hillary Clinton advocates communism.,FALSE,economy,chain-email
"Says CNNs Wolf Blitzer was wrong to say that the wealthiest Americans, they pay the most in taxes already -- 50 percent of Americans dont even pay any federal income tax.",FALSE,taxes,debbie-wasserman-schultz
"The people who want President Barack Obama impeached are all white, theyre all older, and guess what, theyre in the far right wing of the Republican Party.",TRUE,polls,juan-williams
Says PolitiFact has ruled that Ed Gillespies ads are false and misleading.,TRUE,campaign-advertising,mark-warner
"Fifteen years ago, the assets of the six largest banks in this country totaled 17 percent of GDP ... The assets of the six largest banks in the United States today total 63 percent of GDP.",TRUE,"economy,financial-regulation,market-regulation,abc-news-week",sherrod-brown
"When (Ronald) Reagan came in, from 1978 to 1982, economic growth averaged less than 1 percent a year. Theres only one other four-year period where thats true. Thats true from 2008 to 2012.",FALSE,"economy,history,jobs",ted-cruz
"For the first time in nearly two decades, we produce more oil here in the United States than we buy from the rest of the world.",TRUE,"economy,energy,trade",barack-obama
The largest category of people coming into the technical schools in Wisconsin are people with four-year degrees.,FALSE,"education,jobs",scott-walker
Brazil got off oil in the last 30 years.,FALSE,"energy,environment,oil-spill,pundits,abc-news-week",bill-maher
"Louisiana gets ""not one single penny"" from Gulf Coast offshore oil revenues.",FALSE,"energy,environment,federal-budget,oil-spill",mary-landrieu
We've heard talk about curbing our use of fossil fuels in nearly every State of the Union address since the oil embargo of 1973.,TRUE,energy,barack-obama
"For the first time in U.S. history, a personal inaction will be deemed unlawful -- not purchasing a health-insurance plan",FALSE,health-care,ron-johnson
American colleges amount to a cartel.,FALSE,education,paul-ryan
"Louisiana is turning down $100 million ""that would require us to change our unemployment law, that would have actually raised taxes on Louisiana businesses.""",TRUE,"economy,stimulus,taxes",bobby-jindal
Says he lived in a colonia while working as a farm worker.,FALSE,"candidates-biography,immigration,poverty",david-alameel
"Over the last 40 years, this countrys prison population has grown by 500 percent.",TRUE,"crime,criminal-justice",kamala-harris
"While President Obama says all options are on the table for preventing a nuclear Iran, Hagel says military action is not a viable, feasible, responsible option.",FALSE,"foreign-policy,israel,military",emergency-committee-israel
Bernie Sanderss plan is to raise your taxes to 90 percent.,FALSE,taxes,chris-christie
Says Russ Feingold broke his 1992 promise to always get the majority of funding from Wisconsin residents.,TRUE,campaign-finance,ron-johnson
"Even our attorney general who is a strong Democrat, she has said that we need causation in our workers comp system. Thats the No. 1 thing pushing our manufacturing jobs out of Illinois.",TRUE,jobs,bruce-rauner
We dont have bridges being built in the United States.,TRUE,infrastructure,donald-trump
More money is dedicated within the Department of Homeland Security to climate change than whats spent combating Islamist terrorists radicalizing over the Internet in the United States of America.,TRUE,"climate-change,homeland-security,terrorism",michael-mccaul
Says President Franklin Delano Roosevelt felt there wasnt a need in the public sector to have collective bargaining because the government is the people.,TRUE,"federal-budget,labor,state-budget,states,unions",scott-walker
"Every time you buy an airline ticket, the federal government runs a background check on you.",FALSE,"homeland-security,terrorism,transportation",don-zimmerman
We will be the first party to elect a bald guy to governor.,FALSE,"candidates-biography,elections,history",john-thrasher
"Says Robert Menendez is the king of raising money from Wall Street, over a million dollars, one of the leaders in the United States Senate. I havent raised any Wall Street money at all.",FALSE,"campaign-finance,message-machine-2012",joseph-kyrillos
"In the first 24 to 36 hours of the operation in Libya, you saw $115 million go downrange because a Tomahawk cruise missile is a little over $1 million each.",TRUE,military,allen-west
"In the past year, DeKalb has attracted and retained more than 2,300 jobs.",TRUE,"economy,jobs",lee-may
"Two years ago...I wrote to Secretary Paulson, I wrote to Federal Reserve Chairman Bernanke, and told them [subprime lending] is something we have to deal with.",TRUE,economy,barack-obama
Manufacturing is having its best employment year in almost 15 years.,TRUE,"economy,history,abc-news-week",austan-goolsbee
Georgia ranks No. 9 in the rate of women murdered by men.,TRUE,"crime,guns,women",violence-policy-center
Bicycle ownership drops by half while obesity in Rhode Island rises by 154 percent,FALSE,public-health,my-city-bikes
"Sue Lowden gave Harry Reid's campaigns a thousand dollars in five different elections, helping his Senate dreams come true.",TRUE,"bipartisanship,candidates-biography,message-machine",danny-tarkanian
A gay man who survived #orlando hate crime can STILL show up to work in FL tomorrow and have his boss fire him simply because he is gay.,TRUE,"florida,gays-and-lesbians,human-rights,states,workers",clay-aiken
"Says Gov. Charlie Crist has called him ""a rock star.""",TRUE,bipartisanship,dave-aronberg
Says U.S. Rep. Connie Mack took seven and a half years to finish college.,FALSE,"candidates-biography,education",george-lemieux
Portland Schools spend $500K to deem PBJ sandwiches racist.,FALSE,"diversity,education",education-action-group
"Says these Jersey Shore folks, theyre from New York.",TRUE,pop-culture,chris-christie
"Says he cured Charlie Sheen and the island of Comoros of HIV with milk from goats, which had arthritis.",FALSE,"health-care,public-health,science",samir-chachoua
Says Kelly Ayotte voted again yesterday against a proposal to expand background checks -- (buyers) can continue to simply go online or to gun shows to purchase guns without background checks.,TRUE,"guns,voting-record",maggie-hassan
Government employees make 43 percent more in wages and benefits than private-sector workers.,FALSE,"government-efficiency,labor,unions",building-better-ohio
"Has created 60,000 net new jobs since taking office.",TRUE,"economy,jobs",bob-mcdonnell
I get the most money from active duty officers and military personnel.,TRUE,ethics,ron-paul
"In Texas, schools do not even have to teach sex education.",TRUE,education,pat-carlson
"Terry McAuliffe cashed in, walking away with millions from the demise of Global Crossing.",FALSE,"candidates-biography,wealth",ken-cuccinelli
"Historically, the Social Security tax has been assessed on about 90% of U.S. income. Now it captures 83% because theres been such a growth of income among the highest earners.",FALSE,"debt,federal-budget,history,social-security,taxes,wealth",david-cicilline
Phoenix is the kidnapping capital of the Western Hemisphere.,FALSE,"crime,immigration",helen-glover
Statistics show you are about nine times more likely to be assaulted by a taxi driver in Austin than a driver for a ride-hailing service.,FALSE,"crime,transportation",ellen-troxclair
"A year ago, in March 2007, I called for immediate action to address abuses in the subprime market, and I laid out detailed concrete proposals for how to do so.",TRUE,economy,hillary-clinton
"While in the Illinois Senate, Barack Obama passed legislation moving people ""from welfare to jobs.""",TRUE,"poverty,workers",michelle-obama
Gov. Terry McAuliffe has made several statements that he would love to be in a Cabinet secretary position with the Clinton administration.,FALSE,elections,bryce-reeves
Very little of (the defense) budget less than 10 percent actually goes into fighting ISIS and international terrorism.,FALSE,"federal-budget,military",bernie-s
Says the U.S. Department of Homeland Security must report to about 100 congressional committees and subcommittees.,TRUE,"homeland-security,terrorism",tom-kean-sr
"Every American now is $51,000 in debt. Thats money I owe, thats money my children owe before they even go to kindergarten, thats their check to the federal government right now.",TRUE,"debt,deficit",caroline-casagrande
The Republican candidate [John Loughlin] has talked about privatizing Social Security ... so we know where he stands on the issue.,TRUE,social-security,david-cicilline
"Says cuts by Gov. Rick Perrys administration left 12,000 teachers without a job.",TRUE,"education,state-budget",julian-castro
Says Gary Farmers claim that he received an A from the NRA is an absolute lie.,TRUE,guns,jim-waldman
"For people with insurance, the only impact of the health care law is that their insurance is stronger, better and more secure than it was before. Full stop. Thats it. They dont have to worry about anything else.",TRUE,health-care,barack-obama
Independent groups behind ads attacking Democratic candidates are front groups for foreign-controlled companies.,FALSE,"campaign-finance,abc-news-week",david-axelrod
Says Donald Trump supports an agenda out there to privatize the Veterans Affairshealth care system.,FALSE,"health-care,veterans",hillary-clinton
"Marco Rubio spent $400K of your tax dollars remodeling offices, and building a members-only lounge.",TRUE,candidates-biography,florida-democratic-party
There are places in America that are among the most dangerous in the world. You go to places like Oakland. Or Ferguson. The crime numbers are worse. Seriously.,FALSE,crime,donald-trump
"Says Texas state funds were spent on a TV series on spouses cheating on their wives, kind of glorifying the act of cheating.",TRUE,"economy,marriage,pop-culture,state-budget,state-finances",jodie-laubenberg
Congressman McCollum voted to dismantle Social Security.,FALSE,social-security,florida-democratic-party
Bush's tax cuts for high earners have been the biggest contributor to the budget deficit.,FALSE,federal-budget,nancy-pelosi
President Obamas lawsuit claims it is unconstitutional for Ohio to allow servicemen and women extended early voting privileges during the states early voting period.,FALSE,elections,mitt-romney
"All of the records, as far as I know, about what we did with health care, those are already available.",FALSE,health-care,hillary-clinton
"Nevada is No. 1 in unemployment, violent crime, car theft, divorce, robberies and foreclosures.",TRUE,"crime,economy,gambling",no-casinos
Says the mandate is 71 times that a childs body will be injected with a disease for immunizations.,FALSE,"children,public-health",jason-conger
Floridas high school graduation rate falls well below the national average.,TRUE,education,alex-sink
Says four Democratic state senators voted to raise taxes on Wisconsin workers by another $510 a month so freeloaders can get free state-run health care.,TRUE,"health-care,message-machine,taxes",wisconsin-manufacturers-and-commerce
"Under Gov. Scott Walker, Wisconsin projected a $1 billion (budget) surplus and it turns out to be a deficit of $2.2 billion.",FALSE,"candidates-biography,deficit,state-budget,state-finances,taxes",donald-trump
I'm the only Republican who has gotten endorsements in this presidential race from major labor unions...,TRUE,elections,mike-huckabee
Annexation would lead to overcrowding at Decaturs city schools.,FALSE,education,internet-commenters
"Never once did they (House Republicans) actually cut spending or reduce the state budget. Even when they cut taxes in 2005, they increased spending. They never paid for their tax cuts.",TRUE,"state-budget,taxes",armond-budish
Says former Miami-Dade Mayor Carlos Alvarez and current mayoral candidate Carlos Gimenez both drove fancy European cars at taxpayer expense.,TRUE,candidates-biography,accountability-project
On fundraising for super PACs,FALSE,"candidates-biography,elections",barack-obama
I am the only candidate who ran in either the Democratic or the Republican primary who said from the very beginning (that) I will not raise taxes on the middle class.,FALSE,"income,taxes",hillary-clinton
"Twenty percent of our electricity currently comes from nuclear power plants. I think there are 104 in the United States, two of them around the coast in California.",TRUE,"energy,environment",bill-kristol
The Nordic countries are some of the few countries that meet development aid goals.,TRUE,foreign-policy,barack-obama
"Tells David Cicilline, 94 percent of the carbon emissions which you so want to get rid of are caused by nature.",FALSE,"cap-and-trade,climate-change,energy,environment,science",john-loughlin
Sen. Barbara Boxer voted against immigration reform to permit (Hispanic immigrants) people to come here legally to work.,FALSE,"immigration,message-machine",susan-b-anthony-list
Senator Obama has the most liberal voting record in the United States Senate.,FALSE,candidates-biography,john-mccain
Says Mary Burkes Madison school district will be the only school district left in the state to ignore the (Act 10) law in the 2015-16 school year.,TRUE,"unions,workers",scott-walker
The only growth sector that weve had in the last two years in America is government growth.,FALSE,"economy,jobs",kay-bailey-hutchison
Who will raising the minimum wage actually help? More than half work full-time. The average worker is 35 years old.,TRUE,"economy,jobs",jay-carney
Fifty percent of the graduating class of the year 2012 will have smoked marijuana or have done illegal drugs.,TRUE,"drugs,marijuana",gary-johnson
Taxpayers are paying a fortune for the use of Air Force One on the campaign trail by President Barack Obama and Hillary Clinton.,TRUE,"campaign-finance,elections,government-regulation,history,taxes,transparency",donald-trump
"As has been noted by many observers, including Bill Clinton's former secretary of labor, my plan does more than anybody to reduce costs.",FALSE,health-care,barack-obama
The public option is not funded with public money. It's funded with private insurance premiums.,TRUE,"abortion,health-care",diana-degette
"Thirty-eight states -- Georgia not included -- have appointed, rather than elected, state school superintendents.",TRUE,education,mike-dudgeon
Its coming. Nobody can stop this train.,FALSE,"federal-budget,infrastructure,transportation",raymond-lahood
"On average, each U.S. military working dog saves the lives of between 150 and 200 servicemen and women over the span of his career.",FALSE,"animals,military",rob-wittman
"Had the online change of address been in place in 2008 an estimated 130,000 voters who cast provisional ballots could have changed their address online and voted a regular ballot.",TRUE,elections,jon-husted
"Tourism accounts for 439,000 jobs in the state of Ohio, and visitors spend $36 billion annually.",TRUE,"economy,jobs,tourism",mike-dovilla
"Says food stamp growth, while high, lagged the rise in unemployment.",TRUE,"economy,poverty",anne-goodman
"After the shootings of Dallas policemen, nearly 500 people applied in just 12 days.",TRUE,"public-safety,public-service",hillary-clinton
I have a very conservative voting record.,TRUE,"candidates-biography,voting-record",connie-mack
"Women in Oregon are paid 79 cents for every dollar paid to men. If the wage gap was eliminated, a working woman in Oregon would have enough money for 2,877 gallons of gas, 72 more weeks of food for her family or nearly 12 more months of rent.",TRUE,"economy,families,income",national-partnership-women-families
"Ive gotten to see the commercials that they did on you. And Ive gotten to see some of the most vicious commercials Ive ever seen of Michelle Obama talking about you, Hillary.",FALSE,candidates-biography,donald-trump
"For every dollar a county gets in taxes from new development, it costs us 40 to 50 percent more to provide services.",TRUE,florida-amendments,florida-hometown-democracy
More 25- to 34-year-olds are moving to Austin than any other city in America.,FALSE,"census,population",will-wynn
